الخطأ,الصواب,التفسير
,يَعْتَبِرُ الْمُؤْمِنُ بِمَا يَحْدُثُ لِغَيْرِهِ بِمَعْنِي أَنَّهُ يَأْخُذُ الْعِبْرَةَ). ,"يَقُولُ بَعْضُ اللُّغَوِيِّينَ إِنَّ الْفِعْلَ «اعْتَبَرَ» لَا يَنْفِقُ مَعَ الْفِعْلِ «عَدَّ» فِي الْمَعْنَى لِأَنَّ الْأَوَّلَ مَعْنى أَخَذَ الْعِبْرَةَ، وَقَدْ يَأْتِي مِنْ جُمُودِ الدَّمْعَةِ فِي الْعَيْنِ (الْعَبْرَةِ) أَمَّا الثَّانِي فَهُوَ الَّذِي يُسْتَخْدَمُ فِي مِثْلِ قَوْلِنَا «أَعُدُهُ عَالِمًا». لَكِنْ بِالْبَحْثِ فِي الْمَعَاجِمِ اللُّغَوِيَّةِ قَدِيمِهَا وَحَدِيثِهَا وَجَدْنَا أَنَّ الْفِعْلَيْنِ يُسْتَخْدَمُانِ فِي هَذَا الْمَعْنَى عَلَى حَدٌ سَوَاءٍ، فَقَدْ جَاءَ فِي «الْمُعْجَمُ الْوَجِيزُ» مَثَلًا في مَعْنَى الْفِعْلِ «اعْتَبَرَ» مَا نَصُهُ: «اعْتَبَرَ).... فلانًا عَالِمًا: عَدُهُ عَالِمًا وَعَامَلَهُ مُعَامَلَةَ الْعَالِمِ». وَهُنَا تَمْ شَرْحُ أَحَدِ الْفِعْلَيْنِ بِالآخَرِ، مِمَّا يَعْنِي أَنْهُمَا مُتَرَادِفَانِ. 
كَمَا جَاءَ فِي الْمِصْبَاحُ الْمُنِيرُ مَا نَصْهُ: وَالِاعْتِبَارُ بِمَعْنَى الِاعْتِدَادِ بِالشَّيْءِ في تَرَتْبِ الْحُكْمِ وَهُنَا أَيْضًا فُسْرَ الِاعْتِبَارُ بِالِاعْتِدَادِ. 
وَالذَّوْقُ اللُّغَوِيُّ يَسْتَدْعِي أَيْضًا أَنْ يَحُلُّ كِلَا الْفِعْلَيْنِ مَحَلَّ الْآخَرِ، فَهَلْ نَقُولُ: دَعَوْنَاهُ بِاعْتِبَارِهِ عَالِمًا أَمْ نَقُولُ: «دَعَوْنَاهُ بِعَدِّهِ عَالِمًا»؟ 
وَمِنْ هُنَا يَتَّضِحُ أَنَّ التَّعْبِيرَ أَعْتَبِرُكَ عَالِمًا صَحِيحٌ وَمُرَادِفٌ لِلتَّعْبِيرِ «أَعُدُّكَ عَالِمًا». "
,يَعُدُّ الرّجُلُ الْمَالَ بِمَعْنَى أَنَّهُ يَقُومُ بِعَمَلِيَّةِ الْعَدُ الَّتِي تُرَادِفُ الإخصاء).,"يَقُولُ بَعْضُ اللُّغَوِيِّينَ إِنَّ الْفِعْلَ «اعْتَبَرَ» لَا يَنْفِقُ مَعَ الْفِعْلِ «عَدَّ» فِي الْمَعْنَى لِأَنَّ الْأَوَّلَ مَعْنى أَخَذَ الْعِبْرَةَ، وَقَدْ يَأْتِي مِنْ جُمُودِ الدَّمْعَةِ فِي الْعَيْنِ (الْعَبْرَةِ) أَمَّا الثَّانِي فَهُوَ الَّذِي يُسْتَخْدَمُ فِي مِثْلِ قَوْلِنَا «أَعُدُهُ عَالِمًا». لَكِنْ بِالْبَحْثِ فِي الْمَعَاجِمِ اللُّغَوِيَّةِ قَدِيمِهَا وَحَدِيثِهَا وَجَدْنَا أَنَّ الْفِعْلَيْنِ يُسْتَخْدَمُانِ فِي هَذَا الْمَعْنَى عَلَى حَدٌ سَوَاءٍ، فَقَدْ جَاءَ فِي «الْمُعْجَمُ الْوَجِيزُ» مَثَلًا في مَعْنَى الْفِعْلِ «اعْتَبَرَ» مَا نَصُهُ: «اعْتَبَرَ).... فلانًا عَالِمًا: عَدُهُ عَالِمًا وَعَامَلَهُ مُعَامَلَةَ الْعَالِمِ». وَهُنَا تَمْ شَرْحُ أَحَدِ الْفِعْلَيْنِ بِالآخَرِ، مِمَّا يَعْنِي أَنْهُمَا مُتَرَادِفَانِ. 
كَمَا جَاءَ فِي الْمِصْبَاحُ الْمُنِيرُ مَا نَصْهُ: وَالِاعْتِبَارُ بِمَعْنَى الِاعْتِدَادِ بِالشَّيْءِ في تَرَتْبِ الْحُكْمِ وَهُنَا أَيْضًا فُسْرَ الِاعْتِبَارُ بِالِاعْتِدَادِ. 
وَالذَّوْقُ اللُّغَوِيُّ يَسْتَدْعِي أَيْضًا أَنْ يَحُلُّ كِلَا الْفِعْلَيْنِ مَحَلَّ الْآخَرِ، فَهَلْ نَقُولُ: دَعَوْنَاهُ بِاعْتِبَارِهِ عَالِمًا أَمْ نَقُولُ: «دَعَوْنَاهُ بِعَدِّهِ عَالِمًا»؟ 
وَمِنْ هُنَا يَتَّضِحُ أَنَّ التَّعْبِيرَ أَعْتَبِرُكَ عَالِمًا صَحِيحٌ وَمُرَادِفٌ لِلتَّعْبِيرِ «أَعُدُّكَ عَالِمًا». "
,أَعْتَبِرُكَ عَالِمًا بِمَعْنَى «أَحْسَبُكَ عَالِمًا»).,"يَقُولُ بَعْضُ اللُّغَوِيِّينَ إِنَّ الْفِعْلَ «اعْتَبَرَ» لَا يَنْفِقُ مَعَ الْفِعْلِ «عَدَّ» فِي الْمَعْنَى لِأَنَّ الْأَوَّلَ مَعْنى أَخَذَ الْعِبْرَةَ، وَقَدْ يَأْتِي مِنْ جُمُودِ الدَّمْعَةِ فِي الْعَيْنِ (الْعَبْرَةِ) أَمَّا الثَّانِي فَهُوَ الَّذِي يُسْتَخْدَمُ فِي مِثْلِ قَوْلِنَا «أَعُدُهُ عَالِمًا». لَكِنْ بِالْبَحْثِ فِي الْمَعَاجِمِ اللُّغَوِيَّةِ قَدِيمِهَا وَحَدِيثِهَا وَجَدْنَا أَنَّ الْفِعْلَيْنِ يُسْتَخْدَمُانِ فِي هَذَا الْمَعْنَى عَلَى حَدٌ سَوَاءٍ، فَقَدْ جَاءَ فِي «الْمُعْجَمُ الْوَجِيزُ» مَثَلًا في مَعْنَى الْفِعْلِ «اعْتَبَرَ» مَا نَصُهُ: «اعْتَبَرَ).... فلانًا عَالِمًا: عَدُهُ عَالِمًا وَعَامَلَهُ مُعَامَلَةَ الْعَالِمِ». وَهُنَا تَمْ شَرْحُ أَحَدِ الْفِعْلَيْنِ بِالآخَرِ، مِمَّا يَعْنِي أَنْهُمَا مُتَرَادِفَانِ. 
كَمَا جَاءَ فِي الْمِصْبَاحُ الْمُنِيرُ مَا نَصْهُ: وَالِاعْتِبَارُ بِمَعْنَى الِاعْتِدَادِ بِالشَّيْءِ في تَرَتْبِ الْحُكْمِ وَهُنَا أَيْضًا فُسْرَ الِاعْتِبَارُ بِالِاعْتِدَادِ. 
وَالذَّوْقُ اللُّغَوِيُّ يَسْتَدْعِي أَيْضًا أَنْ يَحُلُّ كِلَا الْفِعْلَيْنِ مَحَلَّ الْآخَرِ، فَهَلْ نَقُولُ: دَعَوْنَاهُ بِاعْتِبَارِهِ عَالِمًا أَمْ نَقُولُ: «دَعَوْنَاهُ بِعَدِّهِ عَالِمًا»؟ 
وَمِنْ هُنَا يَتَّضِحُ أَنَّ التَّعْبِيرَ أَعْتَبِرُكَ عَالِمًا صَحِيحٌ وَمُرَادِفٌ لِلتَّعْبِيرِ «أَعُدُّكَ عَالِمًا». "
,أَعُدُكَ عَالِمًا بِمَعْنَى «أَحْسَبُكَ عَالِمًا»).,"يَقُولُ بَعْضُ اللُّغَوِيِّينَ إِنَّ الْفِعْلَ «اعْتَبَرَ» لَا يَنْفِقُ مَعَ الْفِعْلِ «عَدَّ» فِي الْمَعْنَى لِأَنَّ الْأَوَّلَ مَعْنى أَخَذَ الْعِبْرَةَ، وَقَدْ يَأْتِي مِنْ جُمُودِ الدَّمْعَةِ فِي الْعَيْنِ (الْعَبْرَةِ) أَمَّا الثَّانِي فَهُوَ الَّذِي يُسْتَخْدَمُ فِي مِثْلِ قَوْلِنَا «أَعُدُهُ عَالِمًا». لَكِنْ بِالْبَحْثِ فِي الْمَعَاجِمِ اللُّغَوِيَّةِ قَدِيمِهَا وَحَدِيثِهَا وَجَدْنَا أَنَّ الْفِعْلَيْنِ يُسْتَخْدَمُانِ فِي هَذَا الْمَعْنَى عَلَى حَدٌ سَوَاءٍ، فَقَدْ جَاءَ فِي «الْمُعْجَمُ الْوَجِيزُ» مَثَلًا في مَعْنَى الْفِعْلِ «اعْتَبَرَ» مَا نَصُهُ: «اعْتَبَرَ).... فلانًا عَالِمًا: عَدُهُ عَالِمًا وَعَامَلَهُ مُعَامَلَةَ الْعَالِمِ». وَهُنَا تَمْ شَرْحُ أَحَدِ الْفِعْلَيْنِ بِالآخَرِ، مِمَّا يَعْنِي أَنْهُمَا مُتَرَادِفَانِ. 
كَمَا جَاءَ فِي الْمِصْبَاحُ الْمُنِيرُ مَا نَصْهُ: وَالِاعْتِبَارُ بِمَعْنَى الِاعْتِدَادِ بِالشَّيْءِ في تَرَتْبِ الْحُكْمِ وَهُنَا أَيْضًا فُسْرَ الِاعْتِبَارُ بِالِاعْتِدَادِ. 
وَالذَّوْقُ اللُّغَوِيُّ يَسْتَدْعِي أَيْضًا أَنْ يَحُلُّ كِلَا الْفِعْلَيْنِ مَحَلَّ الْآخَرِ، فَهَلْ نَقُولُ: دَعَوْنَاهُ بِاعْتِبَارِهِ عَالِمًا أَمْ نَقُولُ: «دَعَوْنَاهُ بِعَدِّهِ عَالِمًا»؟ 
وَمِنْ هُنَا يَتَّضِحُ أَنَّ التَّعْبِيرَ أَعْتَبِرُكَ عَالِمًا صَحِيحٌ وَمُرَادِفٌ لِلتَّعْبِيرِ «أَعُدُّكَ عَالِمًا». "
يَعْذُرُنِي بِضَمِّ الذَّالِ).,يَعْذِرُنِي بِكَسْرِ الذَّالِ). ,"يَشِيعُ خَطَأَ بِشَكْلٍ كَبِيرٍ قَوْلُ يَعْذُرُ» بِضَمُ الذَّالِ، وَالصَّوَابُ فِيهَا كَسْرُ الذَّالِ، وَهَذَا ثَابِتٌ فِي كُلِّ الْمَعَاجِمِ الْعَرَبِيَّةِ بِلَا خِلَافٍ وَبِصُورَةٍ وَاحِدَةٍ، أَي أَنَّهَا لَيْسَ فِيهَا أَكْثَرُ مِنْ قَوْلٍ. 
وَنَكْتَفِي هُنَا بِذِكْرِ مَا جَاءَ فِي «الْمُعْجَمُ الْوَسِيط» في هَذَا الشَّانِ: «(عَذَرَ): فُلَانٌ عُدْرًا كَثُرَتْ ذُنُوبُهُ وَعُيُوبُهُ. وَ فُلَانًا فِيمَا صَنَعَ عُدْرًا وَمَعْذِرَةً: رَفَعَ عَنْهُ اللّوْمَ فِيهِ. وَ- الْغُلَامَ وَالْجَارِيَةَ عَدْرًا خَتَنَهُمَا وَ- الْعَادُورُ فَلَانًا: أَصَابَهُ فَهُوَ مَعْذُورٌ. وَ- الْفَرَسَ عَدْرًا أَلْجَمَهُ». 
وَنُلَاحِظُ هُنَا وُجُودَ الْكَسْرَةِ تَحْتَ الشَّرْطَةِ بَعْدَ الْفِعْلِ فِي أَوْلِ الْمَادَةِ «» وَهُوَ أَسْلُوبُ الْمُعْجَمُ الْوَسِيط» في تَوْضِيح حَرَكَةِ عَيْنِ الْفِعْلِ الثَّلَاثِي في الْمُضَارِعِ، وَعَيْنُ الْفِعْلِ هُنَا هِيَ الذَّالُ. 
وَتَجْدُرُ هُنَا الْإِشَارَةُ إِلَى أَنْ كَسْرَ الذَّالِ فِي الْمُضَارِعِ «يَعْذِرُ» يُشِيرُ إِلَى كَسْرِهَا فِي الْأَمْرِ «اعْذِرُ»، فَنَقُولُ: «اعْذِرْنِي» وَلَا نَقُولُ: «اعْذُرْنِي». "
يَعْصَى الْفَاسِدُ أَبَاهُ بالصَّادِ الْمَفْتُوحَةِ وَالْأَلِفِ اللَّيْنَةِ الْمَقْصُورَةِ في «يَعْصَى»).,يَعْمِي الْعَاقُ أَبَاهُ بِالصَّادِ الْمَكْسُورَةِ وَالْيَاءِ فِي يَعْصِي»). ,"كَثِيرًا مَا يُسْتَخْدَمُ الْفِعْلُ الْمُضَارِعُ «يَعْصِي» خَطَأَ فَيُنْهَى بِالْأَلِفِ بَدَلًا مِنَ الْيَاءِ، عَلَى الرِّغْمِ مِنْ شُيُوعِهِ فِي مَصَادِرِ اللُّغَةِ - وَمِنْ أَهَمِّهَا الْقُرْآنُ الْكَرِيمُ بِالْيَاءِ لَا بِالْأَلِفِ. 
فَقَدْ قَالَ (عَزَّ وَجَلَّ: (وَلَا يَعۡصِينَكَ فِي مَعۡرُوفٖ) (الْمُمْتَحَنَةُ: مِنَ الْآيَةِ (12)، فَلَوْ كَانَ الْفِعْلُ مُنْتَهِيًا بِالْأَلِفِ لَجَاءَ عَلَى الصُّورَةِ يَعْصَيْنَكَ» إِذْ تُوجِبُ الْأَلِفُ فَتْحَ مَا قَبْلَهَا وَهُوَ الصَّادُ. 
كَذَلِكَ قَالَ (عَزَّ وَجَلَّ): ﴿ وَمَن يَعۡصِ ٱللَّهَ وَرَسُولَهُۥ وَيَتَعَدَّ حُدُودَهُۥ يُدۡخِلۡهُ نَارًا خَٰلِدٗا فِيهَا وَلَهُۥ عَذَابٞ مُّهِينٞ ) (النِّسَاءُ: 14). 
وَقَالَ (جَلٌ شَأْنُهُ): ﴿ وَمَن يَعۡصِ ٱللَّهَ وَرَسُولَهُۥ فَقَدۡ ضَلَّ ضَلَٰلٗا مُّبِينٗا ﴾ (الْأَحْزَابُ: مِنَ الْآيَةِ (36). 
وَالْأَمْثِلَةُ عَلَى هَذَا كَثِيرَةٌ فِي الْقُرْآنِ الْكَرِيمِ وَفِي غَيْرِهِ مِنْ مَصَادِرِ اللُّغَةِ، فَقَدْ جَاءَ مَثَلًا فِي الْمُعْجَمُ الْوَسِيط»: «عَصَاهُ - مَعْصِيَةً وَعِصْيَانًا: خَرَجَ مِنْ طَاعَتِهِ وَخَالَفَ أَمْرَهُ، وَالشَّاهِدُ هُنَا هُوَ الْكَسْرَةُ الَّتِي تَحْتَ الشَّرْطَةِ الَّتِي بَعْدَ الْفِعْلِ «عَصَاهُ»، إِذْ يُشَارُ بِهَا فِي الْمُعْجَمُ الْوَسِيطُ إِلَى حَرَكَةِ عَيْنِ الْفِعْلِ وَهِيَ هُنَا الصَّادُ فِي الْمُضَارِعِ، وَمِنْ هَذَا يَتَّضِحُ أَنَّ الْمُضَارِعَ هُوَ يَعْصِي» لَا «يَعْصَى». "
يَعُضُّ عَلَى كَفْهِ بِضَمُ الْعَيْنِ فِي «يَعُضُ»). ,يَعَضُّ عَلَى كَفْهِ بِفَتْحِ الْعَيْنِ فِي «يَعَضُّ»). ,"يَشِيعُ خَطَأَ نُطْقُ الْفِعْلِ الْمُضَارِعِ «يَعُضُ» بِضَمُ الْعَيْنِ، وَالصَّوَابُ نُطْقُهُ بِفَتْحِ الْعَيْنِ عَلَى الصُّورَةِ «يَعَضُّ». 
وَقَدْ وَرَدَ هَذَا الْفِعْلُ فِي الْقُرْآنِ الْكَرِيمِ فِي قَوْلِهِ تَعَالَى: ﴿ وَيَوۡمَ يَعَضُّ ٱلظَّالِمُ عَلَىٰ يَدَيۡهِ يَقُولُ يَٰلَيۡتَنِي ٱتَّخَذۡتُ مَعَ ٱلرَّسُولِ سَبِيلٗا ) (الْفُرْقَانُ: (27) . 
كَمَا جَاءَ فِي مُعْجَمِ كِتَابُ الْعَيْنِ»: «عَضَ الْعَضُّ بِالْأَسْنَانِ وَالْفِعْلُ مِنْهُ عَضَضْتُ أَنَا وَعَضٌ يَعَضُّ». 
كَمَا جَاءَ فِي الْمُعْجَمُ الْوَسِيط»: «(عَضَهُ) وَبِهِ، وَعَلَيْهِ - عَضًا، وَعَضِيضًا: أَمْسَكَهُ بِأَسْنَانِهِ، وَ- لَزِمَهُ وَاسْتَمْسَكَ بِهِ...». 
وَحَرَكَةُ الْعَيْنِ فِي الْمُضَارِعِ تَظْهَرُ فِي نَصُ الْمُعْجَمُ الْوَسِيطُ» فَوْقَ الشَّرْطَةِ الَّتِي تَلِي الْفِعْلَ قَبْلَ ذِكْرِ مَعْنَاهُ، وَهِيَ الْفَتْحَةُ كَمَا هُوَ وَاضِحٌ. وَمَصَادِرُ اللُّغَةِ عَلَى هَذَا بِلَا خِلَافٍ."
يَنْعِي الرّجُلُ فَقِيدَهُ بِكَسْرِ الْعَيْنِ وَبِالْيَاءِ).,يَنْعَى الرَّجُلُ فَقِيدَهُ بِفَتْحِ الْعَيْنِ وَبِالْأَلِفِ اللَّيْنَةِ الْمَقْصُورَةِ).,"يَشِيعُ خَطَأَ نُطْقُ وَكِتَابَةُ الْفِعْلِ يَنْعَى» عَلَى الصُّورَةِ «يَنْعِي»» وَالصَّوَابُ فِي هَذَا الْفِعْلِ الْمُضَارِعِ أَنَّهُ مَقْصُورُ الْآخِرِ لَا مَنْقُوصُهُ، وَالْأَدِلَّةُ عَلَى ذَلِكَ كَثِيرَةُ، إذ اتَّفَقَتْ كُلُّ الْمَعَاجِمِ اللُّغَوِيَّةِ وَمَا وَرَدَ فِي أَشْعَارِ الْعَرَبِ عَلَى هَذَا، وَإِنّما شَاعَ هَذَا الْخَطَأَ - فِي ظَنِّي - لِتَشَابُهِ رَسْمِ الْيَاءِ مَعَ رَسْمِ الْأَلِفِ اللَّيْنَةِ الْمَقْصُورَةِ. 
وَقَدْ جَاءَ فِي كِتَابُ الْعَيْنِ» لِلْخَلِيلِ بْنِ أَحْمَدَ: «نَعَى يَنْعَى نَعْيّا. وَجَاءَ نَعِيُّهُ بِوَزْنِ فَعِيلٌ. وَهُوَ خَبَرُ الْمَوْتِ». 
كَمَا جَاءَ فِي لِسَانُ الْعَرَبِ» لِابْنِ مَنْظُور: «النَّأْيُ الْبُعْدُ نَأَى يَنْأَى بَعْدَ بِوَزْنِ نَعَى يَنْعَى». 
وَلَعَلَّ مَا أَوْرَدَهُ ابْنُ مَنْظُورٍ فِي مَادَّةِ «نَأَي» أَكْثَرُ تَدْلِيلًا مِمَّا جَاءَ فِي مَادَّةِ «نَعَى»، لِأَنَّ «نَأَى يَنْأَى» مَشْهُورٌ مَعْلُومٌ. 
وَقَدْ جَاءَ فِي «الْمُعْجَمُ الْوَسِيط»: «(نَعَى) فَلَانًا نَعْيًا، وَنَعِيًّا: أَذَاعَ خَبَرَ مَوْتِهِ». وَنُشِيرُ هُنَا إِلَى أَنْ أَسْلُوبَ الْمُعْجَمُ الْوَسِيط» هُوَ وَضْعُ حَرَكَةِ عَيْنِ الْفِعْلِ الْمُضَارِع الثلاثي عَلَى الشَّرْطَةِ الَّتِي تَلِي الْمَاضِيَ فِي أَوْلِ الْمَادَّةِ، وَهِيَ هُنَا الْفَتْحَةُ، أَيْ إِنَّ الْعَيْنَ مَفْتُوحَةٌ فِي الْمُضَارِعِ عَلَى الصُّورَةِ يَنْعَى». "
الْمُعَلِّمُ يَتَوَاجَدُ فِي الْمَدْرَسَةِ. ,الْمُعَلِّمُ يُوجَدُ فِي الْمَدْرَسَةِ.,"لَمْ يَرِدْ فِي الْمَعَاجِمِ الْقَدِيمَةِ الْفِعْلُ «تَوَاجَدَ»، أَمَّا فِي الْمَعَاجِمِ الْحَدِيثَةِ كَـ «الْمُعْجَمُ الْوَجِيزُ» وَالْمُعْجَمُ الْوَسِيطُ» فَقَدْ وَرَدَ، وَلَكِنْ لَيْسَ بِمَعْنَى الْحُضُورِ، بَلْ بِمَعْنَى ادْعَاءِ الْوَجْدِ، وَالْوَجْدُ هُوَ الْحُزْنُ الشَّدِيدُ، فَإِذَا قُلْتُ: «تَوَاجَدَ الْمُعَلِّمُ فِي الْمَدْرَسَةِ» فَمَعْنَى هَذَا الْقَوْلِ أَنْ الْمُعَلِّمَ ادْعَى الْحُزْنَ الشَّدِيدَ فِي الْمَدْرَسَةِ! 
وَيَكْفِينَا لِلتَّعْبِيرِ عَنِ الْمَعْنَى الصَّحِيحِ اسْتِخْدَامُ الْفِعْلِ الثَّلَاثِي «وَجَدَ» مَبْنِيًّا لِلْمَجْهُولِ عَلَى الصُّورَةِ وُجِدَ» أَوْ «يُوجَدُ» تَبَعًا لِلسِّيَاقِ."
هَذَا بِئْرٌ عَمِيقٌ.,هَذِهِ بِئْرٌ عَمِيقَةٌ. ,"نُخْطِيُّ كَثِيرًا حِينَ نُذَكْرُ كَلِمَةَ «بِثْرٌ»، فَهِيَ مُؤَنِّثَةٌ فِي كُلِّ كُتُبِ اللُّغَةِ، وَلَمْ تُذْكَرْ فِي أَيُّ مِنْهَا فِي مَوْضِعِ تَذْكِيرٍ. 
أَمَّا الْمَعَاجِمُ الْعَرَبِيَّةُ فَلَمْ يَذْكُرْ مِنْهَا حَالَ الْبِثْرِ مِنَ التَّذْكِيرِ وَالتَّأْنِيثِ إِلَّا الْمِصْبَاحُ الْمُنِيرُ» إِذْ جَاءَ فِيهِ: «الْبِثْرُ أُنْثَى وَيَجُوزُ تَخْفِيفُ الْهَمْزَةِ وَلَهُ جَمْعَانِ لِلْقِلَّةِ أَبَارُ سَاكِنُ الْبَاءِ عَلَى أَفْعَالٍ وَمِنْ الْعَرَبِ مَنْ يَقْلِبُ الْهَمْزَةَ الَّتِي هِيَ عَيْنُ الْكَلِمَةِ وَيُقَدِّمُهَا عَلَى الْبَاءِ وَيَقُولُ أَأَبَارُ فَتَجْتَمِعُ هَمْزَتَانِ فَتُقْلَبُ الثَّانِيَةُ أَلِفًا وَالثَّانِي أَبْؤُرٌ». 
وَلَعَلَّ وُرُودَ هَذَا اللُّفْظِ فِي الْقُرْآنِ مُؤَنَّنا يُعَذِّدُ هَذَا الْقَوْلَ، إِذْ يَقُولُ الْمَوْلَى (جَلٌ وَعَلَا فِي كِتَابِهِ الْعَزِيزِ( فَكَأَيِّن مِّن قَرۡيَةٍ أَهۡلَكۡنَٰهَا وَهِيَ ظَالِمَةٞ فَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا وَبِئۡرٖ مُّعَطَّلَةٖ وَقَصۡرٖ مَّشِيدٍ ﴾ (الْحَجُ: 45). وَوَصْفُ «بِثْرِ» هُنَا بـ«مُعَطَّلَةٍ» يُؤَكِّدُ أَنَّهَا كَلِمَةٌ مُؤَنِّثَةٌ. "
اشْتَرَيْتُ بِضْعَ كُتُبِ وَبِضْعَةَ مِجَلَّاتٍ. ,اشْتَرَيْتُ بِضْعَةَ كُتُبِ وَبِضْعَ مِجَلَّاتٍ. ,"الْبِضْعُ فِي الْعَرَبِيّةِ هُوَ الْمَعْدُودُ مِنْ ثَلَاثٍ إِلَى تِسْعِ، وَكَثِيرُونَ يَسْتَخْدِمُونَهُ دُونَ مَعْرِفَةِ هَذَا الْمَعْنَى فِيهِ. كَمَا أَنْ كَثِيرِينَ يَسْتَخْدِمُونَهُ خَطَأَ بِإِثْبَاتِ التَّاءِ عِنْدَ الْإِشَارَةِ بِهِ إِلَى مُؤَنِّثٍ، وَيَحْذِفُونَهَا عِنْدَ الْإِشَارَةِ بِهِ إِلَى مُذَكَّرِ. وَهَذَا اللَّفْظُ الْحُكْمُ فِيهِ هُوَ حُكْمُ الْعَدَدِ مِنْ ثَلَاثٍ إِلَى تِسْعِ، فَيُخَالِفُ الْمَعْدُودَ في التَّذْكِيرِ وَالتَّأْنِيثِ. وَقَدْ جَاءَ في «أَسَاسُ الْبَلَاغَةِ»: «وَعِنْدِي بِضْعَةَ عَشَرَ مِنَ الرِّجَالِ، وَبِضْعَ عَشْرَةَ مِنَ النِّسَاءِ الذُّكُورُ بِالتَّاءِ، وَالْإِنَاتُ بِطَرْحِهَا». وَجَاءَ فِي مُخْتَارُ الصِّحَاحِ»: «وَبِضْعٌ فِي الْعَدَدِ بِكَسْرِ الْبَاءِ وَبَعْضُ الْعَرَبِ يَفْتَحُهَا وَهُوَ مَا بَيْنَ الثَّلَاثِ إِلَى التَّسْعِ تَقُولُ بِضْعُ سِنِينَ وَبِضْعَةَ عَشَرَ رَجُلًا وَبِضْعَ عَشْرَةَ امْرَأَةٌ». 
وَمِنْ هَذَا تَتَّضِحُ قَاعِدَةُ هَذَا اللُّفْظِ. "
هَذِهِ بَطْنٌ كَبِيرَةٌ. ,هَذَا بَطْنُ كَبِيرٌ. ,"كَثِيرًا مَا يَظُنُّ الْمُتَحَدِّثُ وَالْكَاتِبُ بِاللُّغَةِ الْعَرَبِيَّةِ الْفُصْحَى أَنْ كَلِمَةَ «بَطْنٌ» مُؤَنَّثَةٌ، وَمَرَدُّ هَذَا إِلَى أَنَّ بَعْضَ أَعْضَاءِ الْجِسْمِ يَجُوزُ فِيهَا التَّأْنِيتُ مَعَ التَّذْكِيرِ، وَهَذَا يُحْدِثُ الْتِبَاسًا كَبِيرًا لَدَى كَثِيرِينَ. وَلَكِنْ كَلِمَةَ «بَطْنٌ» مُذَكِّرَةٌ دَائِمًا وَلَا يَجُوزُ تَأْنِيتُهَا، وَقَدْ جَاءَ فِي «مُخْتَارُ الصِّحَاحِ»: «الْبَطْنُ ضِدُّ الظُّهْرِ وَهُوَ مُذَكِّرٌ». 
كَمَا جَاءَ فِي الْمِصْبَاحُ الْمُنِيرُ»: «الْبَطْنُ خِلَافُ الظَّهْرِ وَهُوَ مُذَكَّرٌ وَالْجَمْعُ بُطُونُ وَأَبْطَنٌ». 
وَيَنْفِقُ هَذَا مَعَ قَوْلِ الرَّسُولِ الْكَرِيمِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «مَنِ اسْتَحَيِى مِنَ اللهِ حَقِّ الْحَيَاءِ فَلْيَحْفَظِ الرَّأْسَ وَمَا وَعَى وَالْبَطْنَ وَمَا حَوَى». وَلَمْ يَقُلْ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «... وَالْبَطْنَ وَمَا حَوَتْ»، وَإِلَّا لَاعْتُبِرَ لفظا مُؤَنثا."
